BTC,ETH,USDT,BNB,USDC,BUSD,XRP,DOGE,ADA,MATIC,DOT,DAI,LTC,SHIB,TRX,SOL,UNI,AVAX,LINK,LEO,WBTC,ATOM,ETC,XMR,XLM,BCH,ALGO,CRO,FIL,QNT,NEAR,VET,OKB,FLOW,HBAR,ICP,HT,EGLD,CHZ,EOS,USDP,THETA,XTZ,AAVE,SAND,BSV,TUSD,MANA,AXS,KCS,MKR,ZEC,CAKE,GUSD,PAXG,KLAY,FTM,SNX,NEO,DASH,MINA,FEI,RUNE,BNX,GT,NEXO,CRV,LDO,BAT,STX,HNT,1INCH,CSPR,LRC,AR,ZIL,ENJ,DCR,KAVA,CELO,XEM,XDC,CVX,HOT,BAL,ROSE,BTG,WAVES,RVN,TFUEL,YFI,KSM,QTUM,GNO,GLM,IOTX,ANKR,JST,POLY,KDA,LPT,RSR,XCH,ONE,SUSHI,XYM,ABBC,Hive,OMG,ZRX,IOST,ICX,FLUX,WOO,AMP,BORA,AUDIO,STORJ,WAXP,SCRT,ZEN,SXP,EWT,RNDR,VGX,CEL,DGB,INJ,UMA,SKL,SLP,REN,LSK,CVC,MOB,KNC,PUNDIX,TRIBE,MED,REQ,API3,WIN,RLC,OCEAN,PYR,CELR,DAO,CKB,XPRT,COTI,METIS,SYS,ANT,SNT,MBOX,HEX,STETH,FRAX,WBNB,BTCB,HBTC,XAUT,FTT,USDJ,DFI,TEL,LUSD,RPL,SAFE,EURS,VERI,WEMIX,DEXE,ERG,ANY,DESO,CFG,CEEK,FXS,KEEP
23147.35352,1605.895142,1.000154018,301.474823,0.999876022,1.000193954,0.377149999,0.080748998,0.352454007,1.195238948,6.344935894,0.999090016,93.79277802,0.000012,0.069011003,21.91638756,0.000748,17.08111382,7.192696095,3.334008932,23113.35742,12.26447201,20.73649216,150.2793732,0.087034002,131.9375,0.244947001,0.078303002,6.47204113,126.0066452,2.229068041,0.026924999,51.72339249,1.158377051,0.069164999,5.791592121,5.218513966,48.03578568,0.131010994,1.147956014,0.997847974,1.126587987,1.140583992,77.55482483,0.683867991,41.02582169,0.999454022,0.62648797,9.607596397,8.726538658,791.4266357,43.07587433,3.926095009,0.999239028,1808.871338,0.285618007,0.427987993,2.777122974,11.99176407,71.63464355,0.933248997,0.963560998,1.569594026,111.6840668,5.247477055,0.689633012,0.99286902,2.997845888,0.289110005,0.003426,2.62212491,0.571276009,0.039469998,0.34671399,9.833558083,0.031236,0.46153599,23.52863884,0.85146898,0.749967992,0.05308,0.026933,6.053359032,0.003997,7.065183163,0.063495003,16.92300415,2.476203919,0.029461,0.059792999,9098.516602,36.06222153,3.22399497,106.0373306,0.265828013,0.027175,0.039074,0.029386001,0.194414005,1.082312942,7.056971073,0.004987,38.08239365,0.000688,1.275848031,0.038649,0.074135996,0.450594008,1.674479961,0.254983008,0.011156,0.246487007,0.806608975,0.207453996,0.005266,0.216820002,0.310333014,0.425801992,0.082466997,0.830821991,11.79018116,0.313760996,4.907666206,1.455940962,0.389099002,0.470185012,0.011008,3.51837492,2.162815094,0.047246002,0.003209,0.110597,1.166960001,0.122720003,1.757562041,0.838077009,0.512898982,0.255481005,0.020087,0.110094003,1.488543987,0.000099,1.872956038,0.386043012,3.717076063,0.020295,1.456801057,0.005321,0.551024973,0.085112996,31.86209679,0.175202996,2.666934013,0.029890001,0.519424021,0.067484997,1605.507202,0.994884014,301.7038269,23151.19531,23184.81836,1822.507202,1.445173979,1.11560297,0.568556011,0.002692,1.00177002,46.49565887,0.097438,1.05031395,32.76912308,2.094324112,2.930370092,1.630579948,10.42294121,9.081893921,0.300357997,0.104370996,11.46888065,0.177802995
23646.55078,1663.433716,1.000144005,302.9074707,1.000146031,1.000308037,0.383879006,0.081964001,0.360356003,1.248235941,6.534181118,1.000208974,97.73766327,0.000012,0.069877997,22.50643158,0.000764,17.76102257,7.528766155,3.337799072,23646.73242,12.77104092,21.2766552,152.6681671,0.088101998,134.2398529,0.251219004,0.079538003,7.253780842,127.4813156,2.320924044,0.02812,51.27955627,1.197780967,0.070623003,6.184094906,5.247310162,48.50582886,0.136421993,1.20915699,1.002096057,1.194396973,1.202339053,82.82593536,0.705780983,41.67182922,0.999397993,0.657353997,9.992406845,8.863769531,927.9334106,44.29079056,3.968121052,1.002872944,1824.939087,0.278795987,0.469902009,3.028157949,12.79831982,74.01145172,0.987073004,0.977059007,1.678066015,112.5550385,5.317131043,0.705713987,1.035765052,3.022622109,0.299602985,0.003607,2.778456926,0.58750999,0.040786002,0.364466995,10.1535368,0.032093,0.479245991,23.81749344,0.89605701,0.781327009,0.051452,0.028225999,6.395798206,0.004109,7.218523026,0.066468999,16.98996162,2.575007916,0.031081,0.060642,10389.43652,38.16510773,3.383725882,109.1508636,0.273097009,0.028039999,0.039577,0.029920001,0.199836001,1.11726296,7.205985069,0.005289,38.98060608,0.00065,1.360067964,0.040031999,0.074063003,0.458849013,1.730471969,0.301162988,0.011802,0.264714986,0.822643995,0.220238999,0.005403,0.220534995,0.319593012,0.442918986,0.087963998,0.868427992,12.3326292,0.327841997,4.576244831,1.560085058,0.393839002,0.496546,0.011431,3.799483061,2.232131004,0.048905,0.003304,0.127838999,1.183830023,0.132506996,1.794450998,0.868502021,0.531234026,0.257232994,0.019872,0.114036001,1.607439041,0.0001,1.999690056,0.420637012,3.7782619,0.021326,1.471287012,0.005356,0.589006007,0.090917997,32.34660721,0.186903,2.739567995,0.030326,0.526785016,0.076587997,1654.108276,1.00077498,301.7335815,23572.53711,23649.25977,1836.328735,1.481781006,1.11780405,0.550657988,0.00283,1.001656056,47.0100975,0.110818997,1.056996942,33.24844742,2.245660067,3.034106016,1.548125982,11.12047863,8.914011002,0.31665799,0.105926,11.96973419,0.202410996
23475.4668,1647.319336,1.000090957,299.946167,1.000295043,1.000141025,0.377579987,0.080519997,0.350205988,1.224773049,6.326914787,0.999562979,95.2572403,0.000012,0.069651,21.98487854,0.000758,17.44703102,7.267749786,3.333834887,23462.28711,12.45093536,21.08573151,151.0751953,0.087452002,131.7173309,0.242596999,0.076785997,6.887226105,126.5030899,2.256336927,0.027232001,50.6100235,1.143542051,0.069002003,5.923757076,5.171958923,46.16490555,0.134131998,1.238852978,1.005609989,1.168843985,1.177309036,79.82691956,0.688929021,41.79757309,0.999486029,0.63805902,9.74391079,8.826962471,883.2493286,43.58918381,3.912915945,0.997596026,1826.452759,0.258884013,0.444815993,2.889138937,12.32837868,72.29716492,0.975575984,0.990046978,1.633718014,119.1182404,5.176308155,0.682061017,0.989632011,3.018225908,0.291772008,0.003526,2.674648047,0.564701974,0.044133,0.360554993,9.809210777,0.030762,0.463818014,23.57266617,0.866442025,0.748848021,0.048647001,0.02946,6.076570034,0.004066,6.96281004,0.065264002,16.93995094,2.564834118,0.029591,0.058074001,10596.63574,36.38718033,3.249605894,108.2794113,0.267679006,0.027291,0.037671998,0.028997,0.189657003,1.108736992,6.970973015,0.005034,39.25027466,0.000691,1.312921047,0.038860999,0.072949998,0.440320998,1.677734017,0.275727004,0.012124,0.252241999,0.789277971,0.212056994,0.005408,0.209134996,0.301580995,0.424226999,0.082763001,0.846509993,11.97816563,0.318006992,4.245121002,1.527735949,0.350708991,0.471181005,0.011187,3.7391541,2.194401979,0.047036,0.003242,0.124316998,1.157513022,0.128672004,1.756142974,0.822461009,0.504032016,0.257346004,0.020644,0.111052997,1.578292966,0.000099,1.90378499,0.402332991,3.705327988,0.020833001,1.612548947,0.005102,0.59346199,0.088416003,31.32464027,0.181875005,2.663877964,0.029175,0.522248983,0.075001001,1634.48291,0.997244,299.5774231,23453.76563,23455.63672,1837.17981,1.42248404,1.119465947,0.549386978,0.002758,1.002302051,44.17937088,0.112709001,1.051234961,31.59596062,2.141447067,2.962997913,1.543863058,10.59492302,9.835728645,0.293406993,0.104946002,11.09534264,0.216810003
22362.67969,1569.167603,1.000100017,290.2828369,1,1.00049901,0.377671003,0.076777004,0.342736989,1.167757034,6.033932209,0.999861002,90.54897308,0.000011,0.067158997,21.39935303,0.000722,16.65438271,6.948713779,3.361752987,22358.67578,11.99837208,20.36712074,144.9054413,0.085617997,126.1235886,0.233446002,0.072902001,6.254830837,124.4626312,2.099014044,0.0254,49.37171936,1.07941103,0.063969001,5.584551811,5.040249825,43.20409012,0.126919001,1.328770042,0.995890021,1.054003954,1.141561985,76.84499359,0.640806973,39.13959122,0.99959898,0.600642026,9.106601715,8.597167969,893.4088745,39.58597565,3.759866953,0.991352975,1843.958374,0.238795996,0.425687999,2.865210056,11.63199234,69.21840668,0.880477011,0.997431994,1.507040024,111.7655716,4.933907032,0.643934012,0.933686018,2.814292908,0.26850301,0.003429,2.496575117,0.528348982,0.043019,0.338257998,9.165629387,0.028488001,0.435176998,22.43803597,0.797199011,0.692489982,0.043198001,0.029333999,5.828497887,0.003896,6.503464222,0.059611,16.06175613,2.383939982,0.027255001,0.053982001,10514.42383,33.9163208,3.052412033,102.9349518,0.249963999,0.025726,0.035457,0.027378,0.194065005,1.041774035,6.394277096,0.004576,37.00894547,0.000672,1.236822009,0.037248999,0.072654001,0.424631,1.566709042,0.251098007,0.011084,0.229331002,0.726121008,0.192646995,0.005085,0.194325,0.279751003,0.388976008,0.075319998,0.78659302,10.9833746,0.293594003,4.052961826,1.357035041,0.338678986,0.397349,0.010467,3.601231098,2.040184021,0.043389,0.003046,0.124073997,1.073258042,0.117707998,1.666370034,0.762241006,0.472739011,0.260751009,0.019452,0.102595002,1.497341991,0.000095,1.816689968,0.378527999,3.527189016,0.019013001,1.682819009,0.004665,0.578482986,0.081344999,29.86382484,0.171479002,2.471755981,0.026942,0.491264999,0.069856003,1564.199707,0.995790005,290.2376709,22361.73047,22816.71289,1854.232056,1.282354951,1.109873056,0.525186002,0.002626,1.00217104,41.08084106,0.098853998,1.050889015,28.38336372,2.021662951,2.849946022,1.509642959,10.21463776,8.911787033,0.286009014,0.098631002,10.09902191,0.202406004
22353.34961,1566.92395,1.000113964,289.5038757,1.000048041,1.000198007,0.373813003,0.074556001,0.336499006,1.126445055,5.912603855,0.999939024,89.28953552,0.000011,0.066684,20.96683884,0.000722,16.11780548,6.852447033,3.398694038,22317.86719,11.83265114,19.94355774,146.698761,0.083604001,124.4145203,0.225493997,0.072962001,5.914163113,125.1580658,2.049504042,0.024432,49.41535187,1.051354051,0.064548001,5.382496834,4.983336926,42.73281479,0.122357003,1.223829985,0.999673009,1.020149946,1.113080978,75.35516357,0.620909989,38.28985977,1.000334024,0.577242971,8.791820526,8.631390572,858.0084839,38.53298187,3.798021078,0.990858018,1850.2771,0.232123002,0.400451988,2.872154951,11.95847511,67.3123703,0.823927999,0.992953003,1.462991953,105.0585403,4.889108181,0.655775011,0.908796012,2.547657967,0.259027004,0.003437,2.399332047,0.51700902,0.041152,0.322026998,8.881462097,0.027378,0.422926992,21.82145119,0.789878011,0.671775997,0.041179001,0.029727001,5.837232113,0.003817,6.37617588,0.056768,16.05054283,2.263314009,0.026402,0.052889001,10001.31348,34.19570923,2.982151032,102.9639816,0.252911001,0.025024001,0.033652999,0.027508,0.188091993,1.034006,6.005969048,0.004373,36.39756775,0.000673,1.200834036,0.036977001,0.074464001,0.42118901,1.519652963,0.240116,0.01055,0.220267996,0.699935973,0.181690007,0.005195,0.193573996,0.268947005,0.377247989,0.072094001,0.744807005,10.72222233,0.287864,3.967730045,1.238322973,0.35790199,0.379548013,0.010269,3.259938955,2.07008791,0.040598001,0.002917,0.116214998,1.067188978,0.114965998,1.632603049,0.735744,0.473071992,0.255759001,0.019270999,0.100305997,1.443328023,0.000094,1.710530996,0.370411009,3.525497913,0.017878,1.676197052,0.004537,0.571413994,0.078542002,28.98055649,0.165362001,2.403410912,0.026705001,0.500162005,0.065747,1560.422241,1.000000954,289.1540222,22297.0293,23069.70117,1855.847778,1.253157973,1.106052995,0.518182993,0.002589,1.002766013,39.20427322,0.094447002,1.051689029,27.64381599,1.959609032,2.850821972,1.499184012,9.945176125,9.000535965,0.285151005,0.097283997,9.711619377,0.191885993
22435.51367,1564.46875,1.00010705,288.699707,1.000010014,1.000182033,0.367193997,0.074795,0.337101996,1.13744998,5.980068207,0.999899983,89.95334625,0.000011,0.067256004,20.97858429,0.000725,16.159338,6.944227219,3.354495049,22413.61523,12.02549553,19.76902771,149.5346527,0.082753003,124.0386124,0.227185994,0.073555999,6.141830921,125.3509903,2.032285929,0.024344999,49.83220673,1.047003985,0.064034,5.347765923,5.002437115,43.0895195,0.121937998,1.223570943,0.995293021,0.994970024,1.119878054,75.08818054,0.615782976,38.49587631,1,0.576942027,8.780794144,8.607089043,948.1517944,38.11566925,3.767194986,0.990550995,1845.831543,0.233059004,0.400388986,3.099819899,12.06675053,65.21657562,0.824095011,0.998718977,1.479773998,103.5356445,4.99214077,0.645262003,0.929902971,2.622534037,0.256801993,0.003443,2.408018112,0.51452899,0.040477,0.327309996,8.717048645,0.027619001,0.417382002,21.5616188,0.791253984,0.691182017,0.040391002,0.029960001,5.86790514,0.00382,6.340787888,0.057549998,15.8486557,2.270653009,0.026043,0.052712999,10200.95605,34.60479736,2.949954987,103.0164185,0.248741001,0.024961,0.034446001,0.027402001,0.191972002,1.027346015,5.938618183,0.004314,36.66274261,0.000673,1.202870965,0.036644999,0.074391998,0.417378992,1.496036053,0.238051996,0.010378,0.223458007,0.700370014,0.180049002,0.005051,0.195234999,0.269181997,0.374924988,0.071424,0.766029,10.73495007,0.287074,4.045602799,1.197646976,0.383823007,0.398454994,0.010317,3.344784975,2.076230049,0.041046999,0.002899,0.115161002,1.058563948,0.113073997,1.66860497,0.731373012,0.467276007,0.256657004,0.019468,0.100778997,1.446544051,0.000094,1.733966947,0.394746989,3.450737953,0.017913001,1.73387301,0.00451,0.56734401,0.079705998,29.66651154,0.163936004,2.356017113,0.026656,0.494529009,0.068898,1556.129272,0.998782992,289.0565491,22419.92383,23012.28711,1852.356201,1.264582038,1.110640049,0.515414,0.002703,1.004019976,40.11426163,0.066408001,1.053599954,30.38031387,2.011965036,2.844310999,1.524631023,9.976641655,9.985469818,0.280716986,0.097689003,9.628722191,0.190963998
22429.75781,1567.398682,1.000010967,288.0549622,0.999952972,1.000290036,0.370471001,0.074804999,0.330821008,1.131752014,5.922526836,0.999621987,87.42292023,0.000011,0.067400999,20.63501167,0.000724,16.52437973,6.862199783,3.357404947,22400.15234,11.98717403,19.65869904,154.0326691,0.083508,124.1968155,0.225964993,0.072264999,6.100693226,125.7744141,2.055216074,0.024611,48.21400452,1.053357959,0.063956998,5.32538414,5.013063908,43.86323547,0.123134002,1.211372018,0.995370984,1.016932011,1.136347055,76.70159912,0.629333973,38.03102875,1.000152946,0.612272978,8.891215324,8.559343338,910.7695923,38.50614548,3.763407946,0.988216996,1831.490601,0.231318995,0.416862011,3.117208004,11.7903738,62.44868088,0.813224018,0.987003028,1.494238973,100.5303116,4.938285828,0.646629989,0.949715018,2.585525036,0.259537011,0.003455,2.417217016,0.525822997,0.040445998,0.329735994,8.782147408,0.027504001,0.425484985,21.7279644,0.813341022,0.672940016,0.041359998,0.029215001,5.991521835,0.003816,6.397653103,0.058215,15.5486517,2.333062887,0.026047001,0.051435001,10109.54688,34.62965393,3.032953024,104.5192795,0.244190007,0.024966,0.034083001,0.027039999,0.186612994,1.041839004,6.175449848,0.004307,36.25771332,0.000673,1.216086984,0.036704999,0.074123003,0.407510012,1.501678944,0.239893004,0.010426,0.225144997,0.693678021,0.186091006,0.004881,0.192738995,0.270123988,0.377896994,0.071475998,0.746354997,10.98742676,0.284460008,3.872315884,1.211617947,0.396526009,0.395772994,0.010253,3.321419001,2.046032906,0.042613,0.002912,0.123245999,1.042351008,0.110808998,1.707002044,0.73495698,0.459473997,0.256357014,0.019107999,0.100656003,1.444535971,0.000093,1.717183948,0.394694001,3.430682898,0.017963,1.745880008,0.004497,0.537977994,0.080904,29.11824417,0.162967995,2.397406101,0.026494,0.497449011,0.070193,1561.542603,1.002146006,286.9075928,22443.76953,22813.73242,1849.408813,1.321869969,1.109997988,0.519810975,0.002603,1.004768014,38.85429001,0.092359997,1.05598402,31.77812195,2.006803989,2.867423058,1.487822056,10.08020401,9.716906548,0.274902999,0.096836999,9.768316269,0.200443998
22219.76953,1561.933105,1.000012994,289.343689,1.000080943,1.000535965,0.380548,0.074047998,0.33048299,1.149590015,5.851391792,1.000244975,86.30190277,0.000011,0.066262998,20.2447319,0.000527,16.16978264,6.87142086,3.385296106,22206.59766,11.74834061,19.21579742,150.3112183,0.082799003,122.1584396,0.217646003,0.070381001,5.970064163,122.5720291,2.000477076,0.023595,43.99632645,1.014386058,0.062730998,5.334280014,4.937244892,42.07606888,0.120911002,1.180922985,0.994810998,1.003306985,1.110520959,75.19499969,0.609932005,37.69616318,1.00010705,0.591019988,8.622091293,8.527791023,922.3786011,37.65495682,3.749512911,0.989794016,1806.935059,0.222912997,0.398546994,2.924897909,11.57180214,62.01383972,0.780121982,0.998284996,1.464633942,102.5333176,4.771234989,0.637663007,0.972948015,2.54154706,0.25067699,0.003407,2.31375289,0.50839901,0.039168,0.32080999,8.37588501,0.026636001,0.429370999,21.17386055,0.808700979,0.642512023,0.039462,0.030012,5.958102226,0.003756,6.318749905,0.055945002,15.37744808,2.27203989,0.0254,0.051771,9575.675781,33.06640244,2.934577942,103.7135391,0.23827,0.023987999,0.032212999,0.026509,0.181814998,1.033427954,6.002337933,0.004129,36.34641647,0.000662,1.189476013,0.036265999,0.072506003,0.392295003,1.455263972,0.232813001,0.010092,0.219578996,0.674951971,0.184720993,0.004658,0.183048993,0.261788011,0.365705997,0.068108,0.725184977,10.73337364,0.277698994,3.83109808,1.17950201,0.490743995,0.386743993,0.010148,3.176013947,1.989191055,0.040646002,0.002868,0.113821998,1.012567997,0.106057003,1.623391032,0.724492014,0.442712992,0.256006986,0.018681999,0.097801998,1.414636016,0.00009,1.656736016,0.373769999,3.393023968,0.016872,1.791285992,0.004245,0.508431017,0.078576997,27.80161858,0.157578006,2.371340036,0.025854999,0.48951599,0.065402001,1552.755127,0.997596026,288.1651917,22162.40234,22651.52539,1822.381348,1.251706958,1.106276035,0.508144021,0.002549,1.005197048,36.87687683,0.090695001,1.050336003,28.52734566,1.860301971,2.828041077,1.492097974,9.872838974,9.21599102,0.285349011,0.094194002,9.38228035,0.190715998
21718.08008,1534.088257,1.000007033,286.8670044,0.999868989,1.000375986,0.389187992,0.07113,0.317577004,1.051787973,5.5955019,0.998771012,82.78353119,0.000011,0.065260001,18.42119408,0.000515,15.13435268,6.584420204,3.368865967,21705.92773,10.96233082,18.24463463,143.6486359,0.081789002,116.5803528,0.202327997,0.067452997,5.776783943,116.0012436,1.839490056,0.022093,42.95583725,0.948993981,0.060754001,5.057308197,4.830430985,39.93623734,0.111906998,1.120643973,0.999414027,0.956095994,1.028115988,71.60791016,0.569886982,35.84923553,0.999419987,0.548032999,7.906845093,8.394238472,874.7227783,35.72080994,3.714623928,0.986874998,1806.439331,0.206838995,0.359189004,2.600045919,10.51352024,58.2645607,0.708589017,0.998651028,1.367483974,100.1882629,4.747168064,0.611416996,0.889015019,2.358819962,0.236684993,0.003342,2.148982048,0.47272101,0.03596,0.298314989,7.607776165,0.024475999,0.391079992,20.16737938,0.833106995,0.594636023,0.036961999,0.02849,5.474063873,0.003623,6.166753769,0.052129999,14.88237,2.126256943,0.02393,0.051387001,8177.847656,31.73774529,2.768632889,102.219574,0.221288994,0.022762001,0.02973,0.025256001,0.181319997,0.963461995,5.661148071,0.003807,35.20605469,0.000648,1.117318034,0.03537,0.067249,0.372637987,1.370926976,0.216187,0.009422,0.200535998,0.639127016,0.170853004,0.004295,0.170508996,0.241666004,0.337586999,0.065063998,0.680574,10.05900478,0.259294003,3.702856064,1.071601033,0.527871013,0.362834007,0.009613,2.874468088,1.898398042,0.038837999,0.002779,0.098998003,0.961951017,0.098016001,1.548215032,0.667648971,0.423382998,0.254049003,0.017393,0.093826003,1.32112205,0.000086,1.501885057,0.333615989,3.184267998,0.015596,1.853206039,0.003904,0.465177,0.072792001,27.1712513,0.149130002,2.180427074,0.024617,0.480387002,0.059204999,1522.328979,0.997003019,286.5635071,21727.88867,22453.38672,1816.864258,1.176556945,1.104946971,0.496372998,0.002426,1.003056049,37.02524567,0.097011,1.048689008,35.55210876,1.499758005,2.786586046,1.457744956,9.11830616,8.976467133,0.282431006,0.089291997,8.963817596,0.165560007
20363.02148,1438.660767,0.999985993,277.2961121,1.000007987,1.000231981,0.372130007,0.065986998,0.309677988,1.015364051,5.380725861,0.999859989,76.73104858,0.00001,0.058456998,17.30814743,0.000483,14.40396023,6.158695221,3.363014936,20357.5957,11.00820827,17.05596352,142.5760803,0.077086002,110.1605988,0.193573996,0.062946998,5.493531227,112.1628342,1.788555026,0.020292999,40.55221176,0.89161998,0.057500999,4.768817902,3.954188108,37.8482666,0.105552003,1.055804968,0.991581023,0.885003984,0.988180995,68.68196106,0.534390986,33.8606987,0.999400973,0.517346978,7.350944996,8.213317871,810.1728516,34.11935806,3.585716963,0.992956996,1809.755981,0.216440007,0.335698992,2.367748976,9.899716377,54.70367813,0.667945027,0.989926994,1.271291971,105.8584213,4.596537113,0.597424984,0.83940798,2.269819021,0.219063997,0.003228,2.030400991,0.438989997,0.034837998,0.273900002,7.454805851,0.022573,0.358711988,18.88889313,0.850583971,0.555486023,0.034513999,0.027795,5.145017147,0.003405,5.713047028,0.049084,13.84837627,1.988409996,0.02227,0.047176,7504.449219,31.76962852,2.562366962,96.10610199,0.206366003,0.021981999,0.027871,0.023127001,0.171132997,0.933650017,5.419504166,0.003615,35.24598312,0.000618,1.058223009,0.034006,0.065980002,0.346047998,1.26444602,0.199004993,0.008925,0.189460993,0.625474989,0.161065996,0.00438,0.160978004,0.221094996,0.312555999,0.059700999,0.647512972,9.286585808,0.241151005,3.442465067,1.038285017,0.370738,0.331212014,0.00903,2.652009964,1.764876962,0.035287999,0.002534,0.088289,0.895325005,0.090089001,1.40436995,0.624822974,0.394261003,0.256664008,0.016069001,0.088949002,1.233829975,0.000081,1.325628996,0.311737001,3.082765102,0.015044,1.697476029,0.003711,0.437813014,0.068264999,25.6625309,0.138949007,2.049155951,0.022905,0.45283401,0.056111999,1437.467285,0.997300983,276.2399292,20364.42773,21084.91797,1831.158569,1.140447974,1.094354987,0.468672991,0.002245,1.005072951,36.63742828,0.081811003,1.050636053,30.63646507,1.328858972,2.699202061,1.40732801,8.666679382,8.565647125,0.269044995,0.084187999,8.378540993,0.151026994
