CountBrands,FromDate,ToDate
14,1398-10-01,1398-10-30
54,1398-11-01,1398-11-30
15,1398-12-01,1398-12-29
50,1399-01-01,1399-01-31
12,1399-02-01,1399-02-31
74,1399-03-01,1399-03-31
42,1399-04-01,1399-04-31
31,1399-05-01,1399-05-31
16,1399-06-01,1399-06-31
0,1399-7-01,1399-7-30
0,1399-8-01,1399-8-30
0,1399-9-01,1399-9-30
28,1399-10-01,1399-10-30
25,1399-11-01,1399-11-30
19,1399-12-01,1399-12-29
8,1400-01-01,1400-01-31
5,1400-02-01,1400-02-31
5,1400-03-01,1400-03-31
19,1400-04-01,1400-04-31
37,1400-05-01,1400-05-31
39,1400-06-01,1400-06-31
